10,18,1,6,21,4
19,24,13,4,16,0
17,12,6,19,21,1
14,26,7,25,20,1
10,29,6,8,26,2
0,31,15,29,6,2
29,25,10,16,30,4
16,0,20,6,3,0
31,17,1,26,8,1
14,22,28,16,0,0
27,14,29,5,20,2
2,24,12,19,21,2
16,27,24,29,9,0
11,16,2,22,7,0
11,30,22,24,20,0
26,9,18,15,19,1
3,10,14,0,27,0
10,8,31,23,29,1
24,9,19,29,3,4
31,25,11,28,30,2
22,5,1,24,21,3
24,9,27,23,30,3
24,26,6,2,29,1
30,15,23,14,25,1
6,17,24,9,1,3
26,12,28,23,18,3
21,1,10,30,22,0
0,26,9,7,27,3
25,18,26,16,9,3
26,25,29,30,31,3
0,22,16,14,5,0
2,18,3,16,31,0
3,0,18,13,10,1
5,28,12,2,18,0
0,18,22,31,14,3
6,11,29,20,3,2
24,22,5,7,4,1
24,25,7,22,16,3
9,1,20,27,21,4
30,24,14,3,20,0
25,16,10,0,20,3
28,23,10,1,20,3
23,15,20,24,14,1
29,16,7,19,23,1
3,28,22,7,6,1
10,24,27,17,23,1
4,25,15,26,3,4
12,13,23,28,25,1
26,29,15,14,13,4
1,5,29,31,17,3
5,2,31,10,1,4
4,17,30,16,18,4
4,18,17,3,6,0
9,3,28,17,7,3
30,29,28,2,13,2
16,1,13,25,18,1
15,11,20,25,13,4
6,0,17,11,31,3
12,2,21,6,26,1
11,3,31,8,27,4
28,11,9,30,13,3
30,4,2,6,7,4
1,10,19,5,18,1
26,20,27,10,11,4
3,16,10,15,27,0
23,16,20,14,7,3
21,6,10,1,9,2
23,7,1,14,10,3
13,14,25,11,0,1
14,18,21,25,28,4
12,26,16,1,0,4
17,31,29,7,0,1
13,9,23,17,29,0
1,20,19,28,31,4
21,19,25,31,23,1
10,16,28,25,12,4
12,29,23,1,14,2
29,16,15,28,19,3
11,0,18,30,22,2
22,16,23,21,1,1
17,3,28,20,9,4
0,23,30,15,18,4
18,10,9,6,8,1
27,12,30,28,6,0
2,13,11,25,30,4
20,5,24,13,1,3
16,7,20,10,2,3
16,25,2,3,11,4
7,19,30,10,8,2
29,4,2,12,0,3
4,6,3,17,31,0
23,21,28,24,12,3
10,28,8,20,29,0
29,23,20,26,17,0
27,22,25,11,13,2
17,29,8,14,13,2
3,30,7,24,19,2
6,24,13,23,17,4
22,20,1,17,11,4
13,27,7,18,10,4
